seed,quadrant,team,id
1,East,Duke,faeb1160-5d15-4f26-99fc-c441cf21fc7f
2,East,Michigan St.,a41d5a05-4c11-4171-a57e-e7a1ea325a6d
3,East,Marquette,06f7c904-0ac7-4125-b0f4-f4871bb69057
4,East,LSU,70e2bedd-3a0a-479c-ac99-e3f58aa6824b
5,East,Iowa St.,0e4258fa-3154-4c16-b693-adecab184c6c
6,East,Florida St.,d3c8a767-b6fc-45d4-a5f2-18406f2993f1
7,East,Buffalo,a9f5c9a2-342c-4881-9996-5d5c05ec9bd9
8,East,Washington,e52c9644-717a-46f4-bf16-aeca000b3b44
9,East,Ohio St.,857462b3-0ab6-4d26-9669-10ca354e382b
10,East,Alabama,c2104cdc-c83d-40d2-a3cd-df986e29f5d3
11,East,Minnesota,fa416692-7e09-4f0a-9bcf-0cf7d5149a14
12,East,Temple,8598d1b6-106b-4083-a512-2e495729525a
13,East,Murray St.,77a69fb0-1355-4342-ac09-b4cc7949d95e
14,East,Old Dominion,ce967953-5c50-4220-87b2-99acb9606e84
15,East,Loyola Chicago,61a3908a-7492-4b6f-809e-12c61976bb0a
16,East,Bucknell,98d2123a-c7b9-4b5f-8a81-43f76d8537dc
1,Midwest,Virginia,56913910-87f7-4ad7-ae3b-5cd9fb218fd9
2,Midwest,Kentucky,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1
3,Midwest,Kansas,fae4855b-1b64-4b40-a632-9ed345e1e952
4,Midwest,Wisconsin,c7569eae-5b93-4197-b204-6f3a62146b25
5,Midwest,Texas Tech,f8c705b7-87d3-411a-9c8b-5124daab0469
6,Midwest,Maryland,2778d005-cc14-4e58-9bf2-3fc37bffb62f
7,Midwest,Cincinnati,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a
8,Midwest,Ole Miss,d7d668ec-edaa-4d6b-be25-2ebba4128643
9,Midwest,TCU,f7fcbb6e-4a55-41ea-ba21-f763ed914467
10,Midwest,St. John's (NY),c1f4aae1-aa16-4095-aeab-10e5c2a1236a
11,Midwest,VCU,c1c1e6df-a383-4fbd-ba7b-32d4f9ef9518
12,Midwest,Butler,bdb7d7a4-45f8-4bf3-ab85-15488c451494
13,Midwest,New Mexico St.,5016fe1a-9571-4d10-bf5b-b9c1b496bd57
14,Midwest,South Dakota St.,6ef40534-5fad-4755-84de-7dcbd645d1f0
15,Midwest,Radford,f2cf9ba2-ac8c-4d92-8e7a-48dd88e8f40b
16,Midwest,Sam Houston St.,67322042-9c40-4dc2-b33a-4754c02ec82a
1,South,Tennessee,b827dbdf-230f-4916-9703-3bb9004e26eb
2,South,North Carolina,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1
3,South,Purdue,12d7f888-675b-459f-9099-a38f771d8a95
4,South,Nevada,62a73b4a-e281-4483-a1f8-f1160a18e456
5,South,Virginia Tech,324ccccc-575b-4b82-acb0-fbb8e68da13b
6,South,Kansas St.,d203f38a-a166-4258-bca2-e161b591ecfb
7,South,Auburn,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2
8,South,Baylor,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf
9,South,NC State,52df1e19-b142-4a76-a439-ad68455d0581
10,South,Wofford,9916713f-b243-452b-93ae-a2c3ccabf68b
11,South,Lipscomb,a2b8223d-40b3-4076-b5df-55655c2f8591
12,South,Arizona St.,ad4bc983-8d2e-4e6f-a8f9-80840a786c64
13,South,Yale,ca478771-aa3d-4231-81e0-b70f519134fb
14,South,Northern Ky.,ab9a1315-293f-42d3-a164-860216e81576
15,South,Texas St.,1e5dc9e4-c60d-487b-8279-dfbec9229faa
16,South,Robert Morris,6906e22d-92fa-40cb-8c05-ec8391ac1979
1,West,Gonzaga,2f4d21f8-6d5f-48a5-abca-52a30583871a
2,West,Michigan,bdc2561d-f603-4fab-a262-f1d2af462277
3,West,Houston,1f99a164-d593-4d81-85d5-0d7889d6f486
4,West,Louisville,b795ddbc-baab-4499-8803-52e8608520ab
5,West,Villanova,4383eb6a-7fd8-4ff2-94c5-43c933121e88
6,West,Iowa,c10544de-e3bd-4776-ba2e-83df8c017fd1
7,West,Mississippi St.,a1ba4b89-d97c-44e2-835f-79ad3ccaa5ae
8,West,Syracuse,8cd24de1-2be8-4b77-bcfa-47be0495a5f4
9,West,Texas   ,6ed15092-2670-450a-99c2-61d861e87644
10,West,Clemson,dcf5c2e7-c227-4c20-af26-715d5f859412
11,West,UCF,054c3e85-0552-4549-b123-7e84af6e7b6c
12,West,Hofstra,36ca2008-cd2e-4549-8b3b-c745167e07f3
13,West,Vermont,18e89867-9201-41ce-ba19-fadddf92fa17
14,West,UC Irvine,39d00ef7-320d-47cf-a2fa-859bc24d16b4
15,West,Montana,e3848467-66c0-41e5-8283-02e3586d8601
16,West,Prairie View,91ec9ba2-12e5-4a75-9410-a166c82163fd
